city,code,state
Seattle Bellevue Everett,42644,WA
Florence,22500,SC
Hanford Corcoran,25260,CA
San Jose Sunnyvale Santa Clara,41940,CA
Spokane Spokane Valley,44060,WA
Rome,40660,GA
Pittsfield,76600,MA
El Centro,20940,CA
Wheeling,48540,WV OH
Midland,33260,TX
Ocean City,36140,NJ
Provo Orem,39340,UT
Greenville,24780,NC
Virginia Beach Norfolk Newport News,47260,VA NC
Bellingham,13380,WA
Jonesboro,27860,AR
Morristown,34100,TN
Beckley,13220,WV
Madera,31460,CA
Sacramento  Roseville  Arden Arcade,40900,CA
Duluth,20260,MN WI
Albany,10540,OR
Jefferson City,27620,MO
Lake Havasu City Kingman,29420,AZ
Tyler,46340,TX
Dover Durham,73050,NH ME
Framingham,73104,MA
New Orleans Metairie,35380,LA
Phoenix Mesa Scottsdale,38060,AZ
Akron,10420,OH
Rochester,40380,NY
Brunswick,15260,GA
Lubbock,31180,TX
Odessa,36220,TX
Lawrence Methuen Town Salem,74204,MA NH
"Calvert
",17660,MD
Kingston,28740,NY
South Bend Mishawaka,43780,IN MI
Grand Island,24260,NE
Northern Virginia,94783,VA
Albany Schenectady Troy,10580,NY
Las Vegas Henderson Paradise,29820,NV
Ann Arbor,11460,MI
Charleston North Charleston,16700,SC
Anniston Oxford Jacksonville,11500,AL
Asheville,11700,NC
Hot Springs,26300,AR
Cape Coral Fort Myers,15980,FL
Hartford West Hartford East Hartford,73450,CT
Grants Pass,24420,OR
Sioux Falls,43620,SD
Lakeland Winter Haven,29460,FL
Philadelphia Camden Wilmington,37980,PA NJ DE MD
Cape Girardeau,16020,MO IL
Wichita,48620,KS
Johnstown,27780,PA
Montgomery County Bucks County Chester County,33874,PA
St. Cloud,41060,MN
Ames,11180,IA
Bangor,70750,ME
Binghamton,13780,NY
Columbus,17980,GA AL
Homosassa Springs,26140,FL
Allentown Bethlehem Easton,10900,PA NJ
Wenatchee,48300,WA
Glens Falls,24020,NY
