GeoName,2013
United States ,87.7
"Abilene, TX ",91.3
"Akron, OH ",88.9
"Albany, GA ",84.3
"Albany, OR ",93.5
"Albany Schenectady Troy, NY ",99
"Albuquerque, NM ",97.1
"Alexandria, LA ",88.4
"Allentown Bethlehem Easton, PA NJ ",100
"Altoona, PA ",90.1
"Amarillo, TX ",93.1
"Ames, IA ",89.5
"Anchorage, AK ",110.4
"Ann Arbor, MI ",102.4
"Anniston Oxford Jacksonville, AL ",85
"Appleton, WI ",93.2
"Asheville, NC ",92.2
"Athens Clarke County, GA ",91.8
"Atlanta Sandy Springs Roswell, GA ",95.2
"Atlantic City Hammonton, NJ ",107.7
"Auburn Opelika, AL ",86.1
"Augusta Richmond County, GA SC ",89.9
"Austin Round Rock, TX ",98.7
"Bakersfield, CA ",97.7
"Baltimore Columbia Towson, MD ",108.8
"Bangor, ME ",96.8
"Barnstable Town, MA ",101.5
"Baton Rouge, LA ",93
"Battle Creek, MI ",91.4
"Bay City, MI ",90.2
"Beaumont Port Arthur, TX ",90.8
"Beckley, WV ",78
"Bellingham, WA ",99.7
"Bend Redmond, OR ",96.3
"Billings, MT ",97.4
"Binghamton, NY ",95.1
"Birmingham Hoover, AL ",90
"Bismarck, ND ",93.7
"Blacksburg Christiansburg Radford, VA ",88.3
"Bloomington, IL ",93.8
"Bloomington, IN ",95.6
"Bloomsburg Berwick, PA ",92.2
"Boise City, ID ",94.7
"Boston Cambridge Newton, MA NH ",110.9
"Boulder, CO ",109.4
"Bowling Green, KY ",85.6
"Bremerton Silverdale, WA ",104.7
"Bridgeport Stamford Norwalk, CT ",120.8
"Brownsville Harlingen, TX ",85.3
"Brunswick, GA ",86.1
"Buffalo Cheektowaga Niagara Falls, NY ",93.8
"Burlington, NC ",90.2
"Burlington South Burlington, VT ",102
"California Lexington Park, MD ",97.7
"Canton Massillon, OH ",89.4
"Cape Coral Fort Myers, FL ",95.1
"Cape Girardeau, MO IL ",83.7
"Carbondale Marion, IL ",83.6
"Carson City, NV ",97
"Casper, WY ",98
"Cedar Rapids, IA ",91.1
"Chambersburg Waynesboro, PA ",94.1
"Champaign Urbana, IL ",94.3
"Charleston, WV ",89.3
"Charleston North Charleston, SC ",96
"Charlotte Concord Gastonia, NC SC ",93.4
"Charlottesville, VA ",98.4
"Chattanooga, TN GA ",90.6
"Cheyenne, WY ",97.5
"Chicago Naperville Elgin, IL IN WI ",106.6
"Chico, CA ",100.2
"Cincinnati, OH KY IN ",90.5
"Clarksville, TN KY ",91.4
"Cleveland, TN ",83.1
"Cleveland Elyria, OH ",89.5
"Coeur d'Alene, ID ",92.8
"College Station Bryan, TX ",94
"Colorado Springs, CO ",99.4
"Columbia, MO ",92.7
"Columbia, SC ",92.2
"Columbus, GA AL ",89.4
"Columbus, IN ",87.6
"Columbus, OH ",93.5
"Corpus Christi, TX ",93.2
"Corvallis, OR ",97.5
"Crestview Fort Walton Beach Destin, FL ",95.8
"Cumberland, MD WV ",88
"Dallas Fort Worth Arlington, TX ",100.8
"Dalton, GA ",84.3
"Danville, IL ",79.2
"Daphne Fairhope Foley, AL ",92.7
"Davenport Moline Rock Island, IA IL ",91.8
"Dayton, OH ",91
"Decatur, AL ",87
"Decatur, IL ",90.6
"Deltona Daytona Beach Ormond Beach, FL ",95.5
"Denver Aurora Lakewood, CO ",104.8
"Des Moines West Des Moines, IA ",94.9
"Detroit Warren Dearborn, MI ",97.5
"Dothan, AL ",85.3
"Dover, DE ",93.7
"Dubuque, IA ",93.2
"Duluth, MN WI ",91.7
"Durham Chapel Hill, NC ",95.3
"East Stroudsburg, PA ",98.7
"Eau Claire, WI ",92.3
"El Centro, CA ",91.1
"Elizabethtown Fort Knox, KY ",86.6
"Elkhart Goshen, IN ",91.1
"Elmira, NY ",94.1
"El Paso, TX ",90.9
"Erie, PA ",92.8
"Eugene, OR ",98.4
"Evansville, IN KY ",91.3
"Fairbanks, AK ",106.7
"Fargo, ND MN ",93.5
"Farmington, NM ",91.6
"Fayetteville, NC ",91.3
"Fayetteville Springdale Rogers, AR MO ",90.2
"Flagstaff, AZ ",98.5
"Flint, MI ",93.2
"Florence, SC ",86.2
"Florence Muscle Shoals, AL ",83.8
"Fond du Lac, WI ",86.6
"Fort Collins, CO ",101
"Fort Smith, AR OK ",86.1
"Fort Wayne, IN ",90.9
"Fresno, CA ",97.8
"Gadsden, AL ",84.6
"Gainesville, FL ",95.7
"Gainesville, GA ",89.9
"Gettysburg, PA ",96
"Glens Falls, NY ",97.1
"Goldsboro, NC ",87.4
"Grand Forks, ND MN ",92.9
"Grand Island, NE ",84.6
"Grand Junction, CO ",94.8
"Grand Rapids Wyoming, MI ",93.4
"Grants Pass, OR ",93.9
"Great Falls, MT ",94.1
"Greeley, CO ",98.5
"Green Bay, WI ",91.9
"Greensboro High Point, NC ",90.2
"Greenville, NC ",88.7
"Greenville Anderson Mauldin, SC ",90.4
"Gulfport Biloxi Pascagoula, MS ",90.3
"Hagerstown Martinsburg, MD WV ",103.3
"Hammond, LA ",85.1
"Hanford Corcoran, CA ",94.3
"Harrisburg Carlisle, PA ",96.3
"Harrisonburg, VA ",92.2
"Hartford West Hartford East Hartford, CT ",100.4
"Hattiesburg, MS ",84.4
"Hickory Lenoir Morganton, NC ",89.1
"Hilton Head Island Bluffton Beaufort, SC ",94.2
"Hinesville, GA ",90.6
"Homosassa Springs, FL ",89.2
"Hot Springs, AR ",85.4
"Houma Thibodaux, LA ",93
"Houston The Woodlands Sugar Land, TX ",100.6
"Huntington Ashland, WV KY OH ",87.3
"Huntsville, AL ",91.3
"Idaho Falls, ID ",90.2
"Indianapolis Carmel Anderson, IN ",93.6
"Iowa City, IA ",96.2
"Ithaca, NY ",103.8
"Jackson, MI ",91
"Jackson, MS ",90.8
"Jackson, TN ",83
"Jacksonville, FL ",96.1
"Jacksonville, NC ",95.2
"Janesville Beloit, WI ",92.5
"Jefferson City, MO ",81.9
"Johnson City, TN ",87.9
"Johnstown, PA ",85.7
"Jonesboro, AR ",81.7
"Joplin, MO ",88.4
"Kahului Wailuku Lahaina, HI ",107.3
"Kalamazoo Portage, MI ",92.6
"Kankakee, IL ",99.5
"Kansas City, MO KS ",93.7
"Kennewick Richland, WA ",97.9
"Killeen Temple, TX ",92.5
"Kingsport Bristol Bristol, TN VA ",87.1
"Kingston, NY ",102.5
"Knoxville, TN ",90.9
"Kokomo, IN ",88.2
"La Crosse Onalaska, WI MN ",93.1
"Lafayette, LA ",89.1
"Lafayette West Lafayette, IN ",94.3
"Lake Charles, LA ",89.2
"Lake Havasu City Kingman, AZ ",94
"Lakeland Winter Haven, FL ",93.6
"Lancaster, PA ",98.5
"Lansing East Lansing, MI ",94.2
"Laredo, TX ",89.2
"Las Cruces, NM ",92.4
"Las Vegas Henderson Paradise, NV ",99.2
"Lawrence, KS ",95.4
"Lawton, OK ",91.5
"Lebanon, PA ",94.5
"Lewiston, ID WA ",90.8
"Lewiston Auburn, ME ",94.9
"Lexington Fayette, KY ",92.2
"Lima, OH ",89.2
"Lincoln, NE ",92.9
"Little Rock North Little Rock Conway, AR ",91
"Logan, UT ID ",90.6
"Longview, TX ",92.2
"Longview, WA ",93.4
"Los Angeles Long Beach Anaheim, CA ",117.7
"Louisville/Jefferson County, KY IN ",91.3
"Lubbock, TX ",93.4
"Lynchburg, VA ",90.5
"Macon, GA ",87.8
"Madera, CA ",96.8
"Madison, WI ",97.7
"Manchester Nashua, NH ",108.3
"Manhattan, KS ",92.8
"Mankato North Mankato, MN ",87.6
"Mansfield, OH ",88
"McAllen Edinburg Mission, TX ",85.4
"Medford, OR ",98.4
"Memphis, TN MS AR ",92.1
"Merced, CA ",95.8
